FACTORY,FTY STATUS,SALES DOLLARS,SALES UNITS,MMO,IMO,MARK DOWNS,DAMAGE RATE,Lead Time Days,On Time %,Reject %,Pairs Defect %,Pkg Defect %,"Customer Damage per 100,000",Total Damage Rate,Receipt Units,Receipt 1st Cost,Average 1st Cost,Year
YUEHLEAD,SA,324.85933,13.696,0.43360654,0.417722792,-0.030746508,0.003899565,112.3742287,1,0.446499819,0.003875969,0.534883721,0.006206192,0.003899565,16.542,134.6172,8.137903518,2000
CARGAIN,SA,166.8208,12.002,0.320468431,0.593571725,0.654026237,0.018581016,,,0,0,0,0.00449925,0.018581016,,,,2000
TULON,SA,97.6972,11.477,0.229691332,0.499615089,0.526003099,0.013527716,,,0,0,0,0.006360547,0.013527716,,,,2000
GOLDENGLOR,SA,173.96734,11.238,0.057939151,0.562442998,0.748234008,0.398791463,,,0,0,0,0.053034348,0.398791463,,,,2000
HUAXING,SA,42.96151,10.209,0.072804704,0.644321208,1.52064953,0.08632029,,,0,0,0,0.009795279,0.08632029,,,,2000
JOULURNG,SA,39.534,8.777,0.017483685,0.512984468,0.99980346,0.02139399,86.75,1,0,0.023972603,0,0.004101629,0.02139399,9.6,55.2,5.75,2000
AGUIA,SA,150.93473,8.447,0.536161757,0.580750064,0.088083107,0.018490708,48.5,1,0,0.048611111,0.006944444,0.014916538,0.018490708,4.8,31.92,6.65,2000
IFAND,SA,62.66564,8.445,0.118820457,0.596689659,1.044063541,0.138109816,,,0,0,0,0.028063943,0.138109816,,,,2000
ACAFE,SA,81.00128,6.597,0.4376658,0.54036024,0.22083293,0.002590823,45.30183357,1,0,0,0,0.003789601,0.002590823,7.008,36.0912,5.15,2000
PUTIENCOTT,SA,33.15435,6.197,0.498205515,0.567029141,0.153001944,0.003879732,,,0,0,0,0.000806842,0.003879732,,,,2000
LIFENG,SA,57.29171,6.121,0.420424351,0.607779617,0.400774911,0.060191605,59,1,0,0.081632653,0,0.009638948,0.060191605,2.394,9.3366,3.9,2000
NATIONLIGH,SA,55.39012,5.904,0.361114581,0.603001014,0.587376232,0.022119107,,,0,0,0,0.007621951,0.022119107,,,,2000
FUTEGELI,SA,105.21124,5.781,0.439542581,0.556327183,0.263222352,0,,,0,0,0,0,0,,,,2000
YINGBAO,SA,37.12994,5.754,0.414080658,0.532364251,0.251886214,0.001075951,61.53986091,0.881667752,0,0.018772197,0.000507357,0.001911714,0.001075951,13.98,40.986,2.931759657,2000
JETSTAR,SA,65.12939,4.925,0.354586309,0.477728086,0.22478884,0.010866983,48.4,1,0,0.096296296,0,0.007918782,0.010866983,6,38.328,6.388,2000
ROJANA,SA,75.1786,4.442,0.473112561,0.556305843,0.181128406,0.005608245,,,0,0,0,0.003827105,0.005608245,,,,2000
FABILLY,SA,37.61098,3.905,0.279142155,0.530879164,0.456062831,0.08832341,,,0,0,0,0.039948784,0.08832341,,,,2000
RIO DE LUZ,SA,19.95364,3.716,-0.021955393,0.58029216,1.419149589,0.016823497,,,0,0,0,0.005651238,0.016823497,,,,2000
MUSA,SA,21.15313,3.513,0.040496135,0.577444228,1.246186262,0.022727133,,,0,0,0,0.002561913,0.022727133,,,,2000
NALDI,SA,20.4754,3.27,-0.139899098,0.52973236,1.393960558,0.033507526,,,0,0,0,0.008868502,0.033507526,,,,2000
ABOUNDANCE,SA,50.5464,3.224,0.45269495,0.492871178,0.064838643,0.014996914,69,1,0,0.12244898,0,0.017059553,0.014996914,9.6,60.84,6.3375,2000
ELLE,SA,20.92241,3.224,-0.114766416,0.526209367,1.309856274,0.037472739,,,0,0,0,0.014888337,0.037472739,,,,2000
YINGFAT,SA,48.14309,3.019,0.387619282,0.487625066,0.190841926,0.003681733,51,1,0,0,0,0.005631004,0.003681733,10.8,81,7.5,2000
BEIDER,SA,45.51582,3.018,0.194515006,0.374329389,0.286471825,0.000834435,52.01390268,1,0,0.032967033,0,0.004307488,0.000834435,12.084,105.735,8.75,2000
SUNNYSHOES,SA,9.85056,2.761,0.202265658,0.658625255,1.23950618,0.10543563,,,0,0,0,0.005070627,0.10543563,,,,2000
WEICHAN,SA,33.87801,2.753,0.251545767,0.297484415,0.055595355,0.009816102,43.5,1,0,0,0,0.009081003,0.009816102,4.8,27.6,5.75,2000
VICTORY,SA,14.73366,2.483,-0.193261552,0.541515528,1.526199872,0.076304869,,,0,0,0,0.010068466,0.076304869,,,,2000
CHINATOP,SA,25.63358,2.306,-0.368211541,0.255627814,0.798302851,0.039771659,,,0,0,0,0.019080659,0.039771659,,,,2000
FUNGCHENG,SA,28.1358,2.263,0.05664456,0.321365509,0.366528409,0.023713561,0,0,0,0.142857143,0,0.01369863,0.023713561,2.4,21.48,8.95,2000
PG,SA,12.21608,2.036,-0.165734835,0.539725567,1.498316972,0.03405184,,,0,0,0,0.009332024,0.03405184,,,,2000
BAOFENG,SA,22.63549,2.018,0.506822251,0.57168894,0.136349158,0.014920817,57,1,0.250156348,0.054726368,0,0.009910803,0.014920817,7.188,25.257,3.513772955,2000
SUNGET,SA,20.54048,1.845,0.446506605,0.538876059,0.166796005,0.033517717,71,1,0,0.153061224,0,0.020054201,0.033517717,4.788,22.64724,4.73,2000
TSU HSIEH,SA,15.42206,1.821,0.302331854,0.410847421,0.179595333,0.005907771,,,0,0,0,0.002196595,0.005907771,,,,2000
VALALE,SA,11.72584,1.756,0.044909363,0.516463514,0.945313939,0.02968572,,,0,0,0,0.01309795,0.02968572,,,,2000
CHUNGSHIH,SA,11.26336,1.733,0.383881897,0.602602603,0.537078634,0.013304201,,,0,0,0,0.004616272,0.013304201,,,,2000
PREVATT,SA,4.43811,1.648,0.170998466,0.634390651,1.22426213,0.021630829,,,0,0,0,0.006674757,0.021630829,,,,2000
CAPITALCH,SA,6.01617,1.487,0.036119325,0.614562781,1.469200505,0.037068434,,,0,0,0,0.003362475,0.037068434,,,,2000
SALLEN,SA,7.3601,1.418,-0.088448527,0.575582715,1.502658931,0.063342889,,,0,0,0,0.018335684,0.063342889,,,,2000
TAIHWA,SA,16.22423,1.403,0.353703689,0.525659117,0.332634584,0.034797953,,,0,0,0,0.014255167,0.034797953,,,,2000
MIRELLA,SA,8.84382,1.316,0.142645373,0.568359224,0.932970142,0.063482748,,,0,0,0,0.010638298,0.063482748,,,,2000
SHINNING,SA,17.76848,1.298,0.240029535,0.424303,0.251430623,0.058388225,,,0,0,0,0.024653313,0.058388225,,,,2000
YUNGFUNG,SA,9.9402,1.224,-0.066355808,0.590000065,1.457572282,0.132203577,,,0,0,0,0.01879085,0.132203577,,,,2000
MICHART,SA,10.91526,1.207,0.439813619,0.531872988,0.17916843,0.015469169,56,1,0,0.020618557,0,0.014084507,0.015469169,2.4,8.76,3.65,2000
TAIWELL,SA,21.4781,1.191,0.120651734,0.318909875,0.274837625,0.014985497,43.5,1,0,0.157894737,0,0.015952981,0.014985497,2.4,25.14,10.475,2000
HANTAIY,SA,19.99769,1.157,0.494510616,0.567329905,0.156555082,0.011995385,44,1,0,0.097222222,0.166666667,0.007778738,0.011995385,3.6,24,6.666666667,2000
